,krankenhausStandort/bezeichnung,bettenStatus/statusHighCare,krankenhausStandort/position/latitude,krankenhausStandort/position/longitude,free_icu_beds_percent,staff_utilization_percent
220,"Westküstenkliniken Brunsbüttel und Heide gGmbH, Standort Heide",VERFUEGBAR,54.199694819113,9.080427056679,45,98
221,"Klinikum Nordfriesland gGmbH - Klinik Husum und Klinik Niebüll, Hauptstandort",VERFUEGBAR,54.482390849554996,9.051059603707,54,94
222,"Klinikum Nordfriesland gGmbH - Klinik Niebüll, Standort Niebüll",VERFUEGBAR,54.792930503495,8.844442606005,55,91
223,Asklepios Nordseeklinik Westerland GmbH,VERFUEGBAR,54.92532223007301,8.31349825864,52,91
224,"Pius-Hospital Oldenburg, Pius-Hospital Georgstr. 12",VERFUEGBAR,53.143626813834,8.21041989333,55,94
225,Evangelisches Krankenhaus Oldenburg,VERFUEGBAR,53.142667947088,8.205731391972,45,97
226,"Klinikum Oldenburg AöR, Hauptstandort",VERFUEGBAR,53.112105072622,8.217821824574,38,92
227,"St. Johannes-Hospital, St. Johannes Hospital",VERFUEGBAR,53.392550366892,8.139644443972,36,95
228,"Klinikum Wilhelmshaven gGmbH, Hauptstandort",VERFUEGBAR,53.545289698041,8.082759618792,44,95
229,"Krankenhaus Wittmund gGmbH, Krankenhaus Wittmund gGmbH, Dohuser Weg 10, 26409 Wittmund",VERFUEGBAR,53.572063928995,7.788419902308,36,97
230,"Nordwest-Krankenhaus Sanderbusch gGmbH, Hauptstandort",VERFUEGBAR,53.506764372164,8.009217739236,47,100
231,"Ubbo-Emmius-Klinik Norden, Klinik Norden",VERFUEGBAR,53.60076052237601,7.217868769712,54,98
232,"Ubbo-Emmius-Klinik Aurich, Klinik Aurich",VERFUEGBAR,53.468256304166005,7.497409290072,59,95
233,"Ammerland-Klinik GmbH, Hauptstandort",VERFUEGBAR,53.258854772451,7.917847216113,38,99
234,"Bundeswehrkrankenhaus Westerstede, Standort Westerstede",VERFUEGBAR,53.258816264447,7.918362200244,36,98
235,"Klinikum Emden - Hans-Susemihl-Krankenhaus gGmbH, Klinikum Emden Hauptstandort",VERFUEGBAR,53.375643708806,7.212860763057,53,99
236,Borromäus Hospital Leer gGmbH,VERFUEGBAR,53.22912269612001,7.4454667568529995,56,93
237,Klinikum Leer,VERFUEGBAR,53.235690761727,7.458463668954001,48,99
238,"Marien Hospital Papenburg Aschendorf gGmbH, Marien Hospital Papenburg",VERFUEGBAR,53.077564628790995,7.396795928462,51,91
239,"St. Bernhard-Hospital gemeinnützige GmbH, St. Bernhard-Hospital",VERFUEGBAR,53.324051347266,8.482316493464,40,99
240,"Klinik Bassum, Klinik Bassum und Zentrum für seelische Gesundheit",VERFUEGBAR,52.844322345155,8.728390127412,65,95
241,"AGAPLESION DIAKONIEKLINIKUM, Hauptstandort",VERFUEGBAR,53.104505059312004,9.411837101179,56,93
242,"OsteMed Klinik Bremervörde, Hauptstandort",VERFUEGBAR,53.471387569831,9.135576009685,58,91
243,Helios Klinik Cuxhaven GmbH,VERFUEGBAR,53.852887327478,8.69202446931,44,98
244,AMEOS Klinikum Am Bürgerpark Bremerhaven,VERFUEGBAR,53.532427902731,8.604313015962,50,95
245,Klinikum Bremerhaven Reinkenheide gGmbH,VERFUEGBAR,53.537686902915,8.636878319085,47,93
246,Kreiskrankenhaus Osterholz,VERFUEGBAR,53.23344318708,8.793386220932,65,94
247,Josef-Hospital Delmenhorst,VERFUEGBAR,53.044824908295,8.592882513885,36,98
248,Krankenhaus Johanneum,VERFUEGBAR,52.893335764116,8.431986880132001,54,99
249,Rotes Kreuz Krankenhaus Bremen gGmbH,VERFUEGBAR,53.069194763117,8.802890360339001,39,99
250,Klinikum Bremen Mitte,VERFUEGBAR,53.075136342809,8.837436676058001,47,94
251,"Krankenhaus St. Joseph-Stift GmbH, Hauptstandort",VERFUEGBAR,53.083509886869,8.836106836778999,40,96
252,"DIAKO Ev. Diakonie-Krankenhaus gemeinnützige GmbH, Hauptstandort",VERFUEGBAR,53.12580831379001,8.745809036091,48,94
253,"Klinikum Links der Weser, Hauptstandort",VERFUEGBAR,53.03598773022,8.818875789675,52,100
254,"Klinikum Bremen Nord, KBN-Klinik",VERFUEGBAR,53.182259690298004,8.59454870224,37,91
255,"Aller-Weser-Klinik gGmbH Krankenhaus Achim, Aller-Weser-Klinik Achim",VERFUEGBAR,53.018197574978,9.004619836742,46,96
256,"Klinik Lilienthal GmbH & Co.KG, Klinik Lilienthal",VERFUEGBAR,53.149443265434996,8.907616138786,64,100
257,Allgemeines Krankenhaus Celle,VERFUEGBAR,52.628857876836,10.085253920406,60,98
258,"Altmark-Klinikum gGmbH, Krankenhaus Salzwedel",VERFUEGBAR,52.85646921537,11.145434886266,36,95
259,"Capio Elbe Jeetzel Klinik Dannenberg, Capio Elbe Jeetzel Klinik",VERFUEGBAR,53.082453012108004,11.079501092418,44,94
260,Helios Klinikum Uelzen,VERFUEGBAR,52.971664737141,10.532072371224999,50,91
261,"Herz-Kreislauf-Klinik Bevensen, Hauptstandort",VERFUEGBAR,53.085718606891,10.604394436014001,64,98
262,"Heidekreis-Klinikum GmbH Krankenhaus Soltau, Heidekreis-Klinikum Krankenhaus Soltau",VERFUEGBAR,52.989070611951,9.855869293115,37,95
263,Heidekreis-Klinikum GmbH Krankenhaus Walsrode,VERFUEGBAR,52.859423053185,9.586055695945,57,91
264,"DRK-Krankenhaus Clementinenhaus, DRK - Krankenhaus Clementinenkrankenhaus",VERFUEGBAR,52.386950101116,9.744560301287,58,91
265,"DIAKOVERE Friederikenstift, Humboldtstr. 5",VERFUEGBAR,52.370723785107,9.724568778083,50,94
266,"Kinder- und Jugendkrankenhaus AUF DER BULT, Hauptstandort",VERFUEGBAR,52.360189275796,9.777680003663,49,98
267,Sophienklinik GmbH,VERFUEGBAR,52.362268389496,9.777482271129001,40,91
268,"Medizinische Hochschule Hannover, Medizinische Hochschule Hannover - Campus",VERFUEGBAR,52.38356952366,9.806128263408,54,94
269,Paracelsus-Klinik am Silbersee,VERFUEGBAR,52.434121822201995,9.757717609536,45,95
270,"Johanniter-Krankenhaus Gronau GmbH, Hauptstandort",VERFUEGBAR,52.082623016026,9.76698893307,37,100
271,AMEOS Klinikum Alfeld,VERFUEGBAR,51.994454299507,9.832406133405,59,92
272,Helios Klinikum Hildesheim,VERFUEGBAR,52.151614552443,9.975515127117,56,94
273,Klinikum Peine,VERFUEGBAR,52.301798687817,10.237850155681,58,96
274,"Helios Kliniken Mittelweser GmbH- Nienburg, Helios Kliniken Mittelweser GmbH- Krankenhaus Nienburg",VERFUEGBAR,52.63551440783301,9.223802768811,36,91
275,"AGAPLESION EV KLINIKUM SCHAUMBURG gGmbH, Hauptstandort",VERFUEGBAR,52.264749649631995,9.105277776653,53,95
276,"AGAPLESION Ev. Bathildiskrankenhaus, AGAPLESION Ev. Bathildiskrankenhaus Bad Pyrmont",VERFUEGBAR,51.985350926225,9.273886263354,42,91
277,"Deister-Süntel-Klinik, Bad Münder",VERFUEGBAR,52.208127711120994,9.473372340235,47,96
278,"Katholische Hospitalvereinigung Ostwestfalen gGmbH Bielefeld, Mathilden Hospital",VERFUEGBAR,52.112178478842004,8.675173759657,49,93
279,Lukas-Krankenhaus Bünde gGmbH,VERFUEGBAR,52.198265162611996,8.593985036011,62,97
280,"Herz- und Diabeteszentrum Nordrhein-Westfalen, Herz- und Diabeteszentrum NRW",VERFUEGBAR,52.191836211534,8.795144140745,53,91
281,"Klinikum Weser-Egge, St. Josef Hospital",VERFUEGBAR,51.741993251764,9.01045219277,65,94
282,"Brüderkrankenhaus St. Josef Paderborn, Hauptstandort",VERFUEGBAR,51.710481901077,8.759543985119999,52,93
283,"St. Vincenz-Krankenhaus GmbH, St. Vincenz",VERFUEGBAR,51.718585877981994,8.759051799807,44,96
284,St. Johannisstift Ev. Krankenhaus Paderborn GmbH,VERFUEGBAR,51.722803060715,8.747577862814,40,96
285,Karl-Hansen-Klinik GmbH,VERFUEGBAR,51.78248017421699,8.826894253484,60,100
286,Klinikum Gütersloh gemeinnützige GmbH,VERFUEGBAR,51.897660201973,8.383384555586,56,95
287,"Sankt Elisabeth Hospital GmbH, Sankt Elisabeth Hospital Gütersloh",VERFUEGBAR,51.882741502413,8.381511944449,62,98
288,"Katholische Hospitalvereinigung Ostwestfalen gGmbH Bielefeld, Sankt Vinzenz Hospital",VERFUEGBAR,51.833002974089005,8.330376863578,52,99
289,"Klinikum Bielefeld gem. GmbH, Klinikum Bielefeld Mitte",VERFUEGBAR,52.01434512392299,8.544199347480001,64,93
290,"Evangelisches Klinikum Bethel gGmbH, Johannesstift",VERFUEGBAR,52.041682889224994,8.541192054781,48,99
291,"Katholische Hospitalvereinigung Ostwestfalen gGmbH Bielefeld, Franziskus Hospital",VERFUEGBAR,52.023233817794,8.523210525709,45,94
292,"Evangelisches Klinikum Bethel gGmbH, Bethel",VERFUEGBAR,52.013456454331,8.525701117214,53,99
293,Elisabeth-Krankenhaus Kassel GmbH,VERFUEGBAR,51.310112318715,9.491412341595,47,100
294,"AGAPLESION DIAKONIE KLINIKEN KASSEL gemeinnützige GmbH, AGAPLESION DIAKONIE KLINIKEN",VERFUEGBAR,51.314017098388994,9.462657451695,45,98
295,"DRK-Kliniken Nordhessen, Wehlheiden",VERFUEGBAR,51.311906311998996,9.454094264656,56,97
296,Klinikum Kassel,VERFUEGBAR,51.328164739627,9.509411573345,40,93
297,"Marienkrankenhaus Kassel gemeinnützige GmbH, Marienkrankenhaus Kassel",VERFUEGBAR,51.328489882921,9.481294512716,64,93
298,"Asklepios Schwalm-Eder-Kliniken GmbH, Schwalmstadt-Ziegenhain, Asklepios Klinikum Melsungen",VERFUEGBAR,51.137267718941004,9.539881467754,62,95
299,"Klinikum Hann. Münden GmbH, Klinikum Hann. Münden",VERFUEGBAR,51.398310373362996,9.658112168345,36,95
300,"Kreiskliniken Kassel, Kreisklinik Hofgeismar",VERFUEGBAR,51.495953105720005,9.369421720439,65,99
301,"Fachklinik für Lungenerkrankungen - Philippstiftung e. V., Hauptstandort",VERFUEGBAR,51.423125734185,9.477583408388,55,99
302,"Helios Klinikum Warburg GmbH, Hauptstandort",VERFUEGBAR,51.487498909503,9.140362143516999,45,94
303,"St.-Marien-Hospital Marsberg, Hauptstandort",VERFUEGBAR,51.465178426346995,8.844095662232,46,96
304,Krankenhaus Bad Arolsen,VERFUEGBAR,51.379163918467,9.007959723439999,52,98
305,"Hessenklinik Stadtkrankenhaus Korbach gGmbH, Hauptstandort",VERFUEGBAR,51.267262415816,8.870632097121,57,95
306,"Asklepios Kliniken Bad Wildungen GmbH, Asklepios Stadtklinik",VERFUEGBAR,51.117245594667,9.114189147622,54,94
307,"Werner Wicker Klinik Orthopädisches Schwerpunktklinikum Werner Wicker GmbH & Co. KG, Hauptstandort",VERFUEGBAR,51.109438157874,9.085568368419,51,96
308,"Hospital zum Heiligen Geist gGmbH, Hauptstandort",VERFUEGBAR,51.132872601761996,9.277409076576001,41,98
309,"Asklepios Schwalm-Eder-Kliniken GmbH, Schwalmstadt-Ziegenhain, Asklepios Klinikum Schwalmstadt",VERFUEGBAR,50.922115738919004,9.25571751588,42,99
310,"Diakonie- Krankenhaus Wehrda, Diakonie Krankenhaus Wehrda",VERFUEGBAR,50.830535859995,8.761592388219,50,93
311,"Universitätsklinikum Gießen und Marburg GmbH, Standort Marburg, Hauptstandort",VERFUEGBAR,50.81526897788,8.805859994881999,41,95
312,"Kreiskrankenhaus Frankenberg, Kreiskrankenhaus Frankenberg gGmbH",VERFUEGBAR,51.062222506323,8.792190223928,45,99
313,"DRK Krankenhaus Biedenkopf, 35216 Biedenkopf",VERFUEGBAR,50.913512149301006,8.523131199181,54,94
314,"St. Josefs Krankenhaus Balserische Stiftung gemeinnützige GmbH, St. Josefs krankenhaus Balserische Stiftung gemeinützige GmbH",VERFUEGBAR,50.579145623984004,8.668327689138,58,91
315,"Universitätsklinikum Gießen und Marburg Standort Gießen, Universitätsklinikum Gießen und Marburg GmbH - Standort Gießen",VERFUEGBAR,50.576552378551,8.664676129802,46,95
316,Agaplesion Evangelisches Krankenhaus Mittelhessen,VERFUEGBAR,50.592300146582005,8.649139004592,55,94
317,"Asklepios Klinik Lich GmbH, Lich",VERFUEGBAR,50.52503006833201,8.806200742656,44,96
318,"Klinikum Wetzlar-Braunfels, Klinikum Wetzlar",VERFUEGBAR,50.538129568608,8.52995842728,51,94
319,Dill-Kliniken,VERFUEGBAR,50.745418303174,8.284552261512001,48,97
320,Kreiskrankenhaus Weilburg gGmbH,VERFUEGBAR,50.485700411875,8.252862811241,55,98
321,"Vitos Klinikum Weil-Lahn, Vitos Klinikum Weil-Lahn, Standort Weilmünster",VERFUEGBAR,50.424314854232996,8.390130043063001,52,95
322,"Herz-Jesu-Krankenhaus Fulda gGmbH, Hauptstandort Herz-Jesu-Krankenhaus Fulda gGmbH",VERFUEGBAR,50.562437340383994,9.67408096787,58,91
323,"Klinikum Fulda, Hauptstandort",VERFUEGBAR,50.547197450645,9.705839931949,50,91
324,"Herz-Kreislauf-Zentrum Klinikum Hersfeld-Rotenburg GmbH, Herz-Kreislauf-Zentrum Rotenburg",VERFUEGBAR,51.004766329728,9.737370371786,53,95
325,"Kreiskrankenhaus Rotenburg a. d. Fulda, Kreiskrankenhaus Rotenburg an der Fulda Betriebs GmbH",VERFUEGBAR,50.99543623762,9.721353238719999,43,97
326,"Klinikum Bad Hersfeld, Seilerweg 29, 36251 Bad Hersfeld",VERFUEGBAR,50.875966135527,9.713435947878999,49,99
327,"Kreiskrankenhaus des Vogelsbergkreises in Alsfeld GmbH, Kreiskrankenhaus des Vogelsbergkreises in Alsfeld GmbH - Hauptstandort",VERFUEGBAR,50.762536922362,9.268529757853,64,92
328,"Krankenhaus Eichhof, Lauterbach",VERFUEGBAR,50.630089032293995,9.391265630657001,48,94
329,Klinikum Bad Salzungen GmbH,VERFUEGBAR,50.803812514300006,10.218076944548,45,93
330,"MEDIAN Heinrich-Mann-Klinik, MEDIAN Heinrich-Mann-Klinik Bad Liebenstein",VERFUEGBAR,50.810453429908,10.35199320313,44,99
331,"AGAPLESION Krankenhaus Neu-Bethlehem gGmbH, AGAPLESION Krankenhaus Neu Bethlehem",VERFUEGBAR,51.540745182081004,9.943151056749999,45,97
332,"Evangelisches Krankenhaus Göttingen-Weende gGmbH, Hauptstandort",VERFUEGBAR,51.554867818936,9.943659067285001,64,97
333,"Universitätsmedizin Göttingen, Standort UMG",VERFUEGBAR,51.550535752979,9.942435720004,63,98
334,"St. Martini GmbH, St. Martini Duderstadt",VERFUEGBAR,51.516566236894,10.246744930728001,51,100
335,"Evangelisches Krankenhaus Göttingen-Weende gGmbH, Standort Lenglern",VERFUEGBAR,51.589819451566,9.873545050687,43,93
336,Helios Albert-Schweitzer-Klinik Northeim GmbH,VERFUEGBAR,51.729420353466,9.978562116639,50,91
337,"Klinikum Werra-Meißner GmbH, Klinikum Werra-Meißner GmbH - Standort Witzenhausen",VERFUEGBAR,51.343361885523,9.859974145897,36,92
338,"Orthopädische Klinik Hessisch Lichtenau gGmbH, Klinik",VERFUEGBAR,51.212824209987,9.705641502096,63,96
339,"Klinikum Werra-Meißner GmbH, Klinikum Werra-Meißner GmbH - Standort Eschwege",VERFUEGBAR,51.18258131113,10.050348758714,58,96
340,"Eichsfeld Klinikum gGmbH, Haus St. Vinzenz Heiligenstadt",VERFUEGBAR,51.376774861669,10.141371667369,59,99
341,"Eichsfeld Klinikum gGmbH, Haus St. Elisabeth Worbis",VERFUEGBAR,51.423598221262,10.361203640691,62,95
342,"Eichsfeld Klinikum gGmbH, Haus Reifenstein",VERFUEGBAR,51.34724875727,10.363152801974,64,91
343,Einbecker BürgerSpital GmbH,VERFUEGBAR,51.833754361615,9.868870139144,64,96
344,"AGAPLESION EVANGELISCHES KRANKENHAUS HOLZMINDEN gGmbH, AGAPLESION EVANGELISCHES KRANKENHAUS Holzminden gGmbH",VERFUEGBAR,51.834643855496,9.454921960896,55,95
345,"Klinikum Weser-Egge, St. Ansgar Krankenhaus",VERFUEGBAR,51.78536599817,9.365723597871,42,94
346,"Krankenhaus Marienstift gGmbH, Krankenhaus Marienstift",VERFUEGBAR,52.258361923589,10.545156240496,50,94
347,"Städtisches Klinikum Braunschweig gGmbH, Klinikum Celler Straße",VERFUEGBAR,52.27463559513699,10.502997815593,43,96
348,"Städtisches Klinikum Braunschweig gGmbH, Klinikum Holwedestraße",VERFUEGBAR,52.265036919724,10.507718520239,52,99
349,"Herzogin-Elisabeth-Hospital Braunschweig, Hauptstandort",VERFUEGBAR,52.233299562044,10.52669620527,59,91
350,"Städtisches Klinikum Braunschweig gGmbH, Klinikum Salzdahlumer Straße",VERFUEGBAR,52.237874281447,10.545580565913,40,91
351,"Helios Klinikum Salzgitter GmbH, Hauptstandort",VERFUEGBAR,52.153615720019,10.318831443818999,40,91
352,"St. Elisabeth-Krankenhaus Salzgitter gGmbH, Haupstandort",VERFUEGBAR,52.045608337206,10.371263667957999,50,93
353,"Städtisches Klinikum Wolfenbüttel gGmbH, Städtisches Klinikum Wolfenbüttel",VERFUEGBAR,52.180351637734006,10.533000468749,39,94
354,Helios St. Marienberg Klinik Helmstedt GmbH,VERFUEGBAR,52.232069153103,10.999751186236999,51,93
355,"HELIOS Klinikum Gifhorn GmbH, HELIOS Klinikum Gifhorn",VERFUEGBAR,52.496605133344005,10.548190569498,61,100
356,Asklepios Harzklinik Goslar,VERFUEGBAR,51.928337031875,10.441874161359,38,92
357,Asklepios Harzklinik Bad Harzburg,VERFUEGBAR,51.886155333124,10.575004398806,52,98
358,Asklepios Kliniken Schildautal,VERFUEGBAR,51.882819847991,10.216296814942,58,91
359,"AMEOS Klinikum Halberstadt GmbH, AMEOS Klinikum Halberstadt",VERFUEGBAR,51.901056929175994,11.054190158484001,41,97
360,"Harzklinikum Dorothea Christiane Erxleben GmbH, Harzklinikum, Standort Wernigerode",VERFUEGBAR,51.835429468458,10.77440893655,61,92
361,"AMEOS klinikum Schönebeck GmbH, AMEOS Klinikum Schönebeck, Standort Bad Salzelmen",VERFUEGBAR,51.996042224610996,11.716983318493,58,96
362,"AMEOS klinikum Schönebeck GmbH, AMEOS Klinikum Schönebeck, Standort Schönebeck",VERFUEGBAR,52.012511043618005,11.737147159874,55,95
363,"Helios Klinik Zerbst/Anhalt GmbH, Hauptstandort",VERFUEGBAR,51.960538935624,12.093541377589998,58,99
364,"Helios Klinik Jerichower Land GmbH, Hauptstandort",VERFUEGBAR,52.264669082420994,11.832811403428,50,93
365,"Lungenklinik Lostau gGmbH, Lostau",VERFUEGBAR,52.215771478175,11.727941751456001,56,91
366,"AMEOS Klinikum Haldensleben GmbH, AMEOS Klinikum Haldensleben, Somatik",VERFUEGBAR,52.285076554018005,11.377711772166,43,97
367,AGAPLESION DIAKONIEKRANKENHAUS SEEHAUSEN,VERFUEGBAR,52.882020564187,11.747451603396001,47,92
368,"Altmark-Klinikum gGmbH, Krankenhaus Gardelegen",VERFUEGBAR,52.522739152243005,11.38251378512,60,92
369,"St. Martinus-Krankenhaus Düsseldorf, St. Martinus-Krankenhaus",VERFUEGBAR,51.211801754488,6.760553956065,43,96
370,Universitätsklinikum Düsseldorf,VERFUEGBAR,51.196351936376,6.789506149416,44,99
371,"Paracelsus Klinik Golzheim, Paracelsus-Klinik Golzheim",VERFUEGBAR,51.254307612708,6.759437084329,40,96
372,"Marien Hospital Düsseldorf GmbH, Marien Hospital Düsseldorf",VERFUEGBAR,51.235824766012,6.785360164939999,63,98
373,"Florence-Nightingale-Krankenhaus, Kaiserswerther Diakonie        Florence-Nightingale-Krankenhaus, Kreuzbergstrasse 79, 40489 Düsseldorf",VERFUEGBAR,51.300317890771,6.749400258032,61,92
374,"Schön Klinik Düsseldorf SE & Co. KG, Hauptstandort",VERFUEGBAR,51.231458183678996,6.727645182727,47,92
375,"Sana Kliniken Düsseldorf, Sana Krankenhaus Gerresheim",VERFUEGBAR,51.243214833464,6.8551166295220005,44,96
376,"St. Mauritius Therapieklinik Meerbusch gGmbH, St. Mauritius Therapieklinik Meerbusch",VERFUEGBAR,51.279306732938004,6.627281494439,37,98
377,"St. Martinus Krankenhaus Langenfeld, St. Martinus Krankenhaus",VERFUEGBAR,51.130516832494,6.942112684283,40,93
378,"Evangelisches Krankenhaus Mettmann GmbH, Mettmann",VERFUEGBAR,51.250740236167005,6.970764040980001,45,96
379,"St. Marien-Krankenhaus GmbH Ratingen, Hauptstandort",VERFUEGBAR,51.300240747791996,6.852114915782,53,93
380,"Johanniter GmbH-Ev. Krankenhaus Bethesda Mönchengladbach, Hauptstandort",VERFUEGBAR,51.198902335442,6.42537492512,44,94
381,Kliniken Maria Hilf GmbH,VERFUEGBAR,51.218465487226,6.419624588634,61,95
382,"Krankenhaus Neuwerk gGmbH, Mönchengladbach, 41066 Mönchengladbach, Dünner Strasse 214 - 216",VERFUEGBAR,51.224390160017,6.470275640422,59,97
383,"Städtische Kliniken Mönchengladbach GmbH, Städtische Kliniken Mönchengladbach GmbH - Elisabeth-Krankenhaus Rheydt",VERFUEGBAR,51.158093140952,6.420085608942999,49,99
384,Städtisches Krankenhaus Nettetal GmbH,VERFUEGBAR,51.309347754467,6.2714890670029995,65,97
385,"Johanna Etienne Krankenhaus, Hauptstandort",VERFUEGBAR,51.213667703464004,6.658748298810001,47,99
386,"Städtische Kliniken Neuss - Lukaskrankenhaus - GmbH, Hauptstandort",VERFUEGBAR,51.190297913877004,6.6730506419480005,36,92
387,"Rhein-Kreis Neuss Kliniken GmbH, Kreiskrankenhaus Grevenbroich",VERFUEGBAR,51.09044480753101,6.593625336877,49,91
388,"Rhein-Kreis Neuss Kliniken GmbH, Kreiskrankenhaus Dormagen",VERFUEGBAR,51.072726201174,6.808673322184,40,94
389,Allgemeines Krankenhaus Viersen GmbH,VERFUEGBAR,51.251205269879996,6.382835626537,64,92
390,"St. Irmgardis - Krankenhaus Süchteln GmbH, Viersen",VERFUEGBAR,51.285717111258,6.375237464872,60,95
391,"Klinikverbund St. Antonius und St. Josef GmbH, Krankenhaus St. Josef",VERFUEGBAR,51.260170938981,7.143887758239,55,94
392,"AGAPLESION Bethesda Krankenhaus Wuppertal, Hauptstandort",VERFUEGBAR,51.268150609014995,7.130713552249,46,96
393,"Helios Klinikum Wuppertal, Helios Klinikum Wuppertal, Standort Elberfeld",VERFUEGBAR,51.250318847768,7.133939981395001,59,96
394,"Helios Klinikum Wuppertal, Helios Klinikum Wuppertal, Standort Barmen",VERFUEGBAR,51.273843532331,7.174430608684,41,95
395,"Klinikverbund St. Antonius und St. Josef GmbH, Petrus-Krankenhaus",VERFUEGBAR,51.275534912024,7.191768407755999,53,95
396,"Sana Krankenhaus Radevormwald gGmbH, Sana Krankenhaus Radevormwald",VERFUEGBAR,51.19860988881,7.351010084185,52,93
397,Helios Klinikum Niederberg,VERFUEGBAR,51.350371418841,7.01174873112,62,100
398,"St. Lukas Klinik, Standort St. Lukas Klinik",VERFUEGBAR,51.154917017551,6.984611749649,56,98
399,"Krankenhaus Bethanien, Hauptstandort",VERFUEGBAR,51.137942585009,7.01258504394,59,100
400,"St. Josef Krankenhaus Haan, Standort St. Josef Krankenhaus Haan",VERFUEGBAR,51.19879476908,7.020419239998,60,93
401,Sana-Klinikum Remscheid GmbH,VERFUEGBAR,51.161622284322995,7.188714981112,61,100
402,"Krankenhaus Wermelskirchen GmbH, Krankenhaus Wermelskirchen",VERFUEGBAR,51.134738145629996,7.221926629527,41,91
403,"Klinikum Dortmund gGmbH, Klinikum Dortmund gGmbH - Klinikzentrum Mitte",VERFUEGBAR,51.508734111832,7.456813037379,61,99
404,Marien Hospital Dortmund-Hombruch,VERFUEGBAR,51.47852893464599,7.441745191804,54,97
405,"St. Lukas Klinikum, St.-Josefs-Hospital",VERFUEGBAR,51.484835057088006,7.504727885123,60,95
406,Hüttenhospital gGmbH,VERFUEGBAR,51.480677983394,7.509634852377,36,94
407,"St. Lukas Klinikum, Katholisches Krankenhaus Dortmund-West",VERFUEGBAR,51.524256834301006,7.368412792666,53,93
408,"Katholisches Klinikum Lünen/Werne, St.-Marien-Hospital",VERFUEGBAR,51.619058991070006,7.519005560316,55,95
409,"Klinikum Westfalen GmbH - KKDO, KaP, HK, Klinik am Park Lünen",VERFUEGBAR,51.589960263977005,7.441500842588001,58,93
410,"Evangelisches Krankenhaus Castrop-Rauxel, Krankenhaus Grutholzallee",VERFUEGBAR,51.567318189066,7.319482415942,48,94
411,"Marien Hospital Herne, Universitätsklinikum der Ruhr-Universität Bochum, Marien Hospital Herne  - Universitätsklinikum der Ruhr-Universität Bochum",VERFUEGBAR,51.528862559831,7.225762188418,56,98
412,"St. Anna Hospital, Hauptstandort",VERFUEGBAR,51.537445320945,7.158937633020999,55,100
413,"Evangelisches Krankenhaus Herne, Herne-Eickel",VERFUEGBAR,51.510657213551,7.175529241595,62,99
414,"Katholisches Klinikum Bochum gGmbH, Standort EH",VERFUEGBAR,51.482508862987004,7.22188982978,42,98
415,"Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil gGmbH, Bergmannsheil Bochum gGmbH",VERFUEGBAR,51.468139741933,7.2120126486150005,61,95
416,"Augusta-Kranken-Anstalt gGmbH, Augusta-Kranken-Anstalt - Betriebsstelle Bochum-Mitte",VERFUEGBAR,51.485216294599,7.222674965842001,49,93
417,"Katholisches Klinikum Bochum gGmbH, Standort JH",VERFUEGBAR,51.493922507533,7.2282679080309995,39,92
418,Universitätsklinikum Knappschaftskrankenhaus Bochum,VERFUEGBAR,51.464353367673,7.3274281025259995,62,91
419,"Alfried Krupp Krankenhaus Rüttenscheid, Alfried Krupp Krankenhaus Essen Rüttenscheid",VERFUEGBAR,51.426311791384,7.007736146434,53,97
420,"Universitätsklinikum Essen, Hauptstandort",VERFUEGBAR,51.436266579469006,6.989787407219,46,92
421,"KEM I Evang. Kliniken Essen-Mitte gGmbH, Evang. Krankenhaus Essen-Werden",VERFUEGBAR,51.389826096284,7.00573603157,54,93
422,"Ruhrlandklinik, Westdeutsches Lungenzentrum am Universitätsklinikum Essen gGmbH",VERFUEGBAR,51.362841515128004,6.989071760327,61,100
423,St. Josef Krankenhaus Essen-Werden GmbH,VERFUEGBAR,51.389033346782,7.00595211998,42,97
424,"Katholische Kliniken Ruhrhalbinsel, St. Josef-Krankenhaus Kupferdreh - Hauptstandort",VERFUEGBAR,51.391509018616,7.085933268054,41,99
425,"Alfried Krupp Krankenhaus Steele, Alfried Krupp Krankenhaus Essen Steele",VERFUEGBAR,51.449908456093,7.091539621288001,42,97
426,"Katholisches Klinikum Essen GmbH, Marienhospital Altenessen",VERFUEGBAR,51.499476129246,7.005811795625,56,91
427,"Katholisches Klinikum Essen GmbH, Philippusstift",VERFUEGBAR,51.475767178994,6.950350552715,40,94
428,"Ev. Krankenhaus Mülheim GmbH, Evangelisches Krankenhaus Mülheim GmbH",VERFUEGBAR,51.424696279086,6.882788658077001,58,94
429,"St. Marien-Hospital Mülheim an der Ruhr GmbH, Hauptstandort",VERFUEGBAR,51.425864418806,6.887203842393,48,93
430,Evangelisches Krankenhaus Hattingen gGmbH,VERFUEGBAR,51.394113200081996,7.192757606489999,36,96
431,"Stiftungsklinikum Proselis gGmbH, Prosper-Hospital",VERFUEGBAR,51.606482277585,7.191815078258999,51,93
432,"Elisabeth-Krankenhaus Recklinghausen, Hauptstandort",VERFUEGBAR,51.56842089302,7.20808396416,63,91
433,"St. Elisabeth-Hospital Herten gGmbH, Hauptstandort",VERFUEGBAR,51.592150715631,7.124275982395999,54,95
434,"KKRN Katholisches Klinikum Ruhrgebiet Nord GmbH, Gertrudis-Hospital Westerholt",VERFUEGBAR,51.59993517091699,7.085793256792001,58,97
